Site,Date,probe,soil_moisture,temp_C
L010,1/3/17 8:24,5TM Moisture/Temp,0.230 m³/m³,7.2 °C
L010,1/9/17 11:09,5TM Moisture/Temp,0.248 m³/m³,5.6 °C
L010,1/17/17 8:52,5TM Moisture/Temp,0.225 m³/m³,5.0 °C
L010,1/23/17 8:13,5TM Moisture/Temp,0.236 m³/m³,4.9 °C
L010,1/30/17 7:42,5TM Moisture/Temp,0.225 m³/m³,5.5 °C
L010,2/6/17 9:50,5TM Moisture/Temp,0.239 m³/m³,5.5 °C
L010,2/13/17 9:34,5TM Moisture/Temp,0.230 m³/m³,6.4 °C
L010,2/27/17 9:05,5TM Moisture/Temp,0.234 m³/m³,7.0 °C
L010,3/6/17 14:10,5TM Moisture/Temp,0.244 m³/m³,6.9 °C
L010,3/13/17 13:34,5TM Moisture/Temp,0.232 m³/m³,7.5 °C
L010,3/20/17 12:39,5TM Moisture/Temp,0.236 m³/m³,8.5 °C
L010,3/27/17 12:28,5TM Moisture/Temp,0.235 m³/m³,8.9 °C
L010,4/3/17 12:15,5TM Moisture/Temp,0.226 m³/m³,9.2 °C
L010,4/10/17 12:28,5TM Moisture/Temp,0.222 m³/m³,9.6 °C
L010,4/17/17 11:16,5TM Moisture/Temp,0.226 m³/m³,9.7 °C
L010,4/24/17 12:10,5TM Moisture/Temp,0.222 m³/m³,10.2 °C
L010,5/1/17 13:37,5TM Moisture/Temp,0.219 m³/m³,10.5 °C
L010,5/8/17 13:23,5TM Moisture/Temp,0.219 m³/m³,11.5 °C
L010,5/22/17 12:38,5TM Moisture/Temp,0.211 m³/m³,12.2 °C
L010,5/30/17 12:53,5TM Moisture/Temp,0.210 m³/m³,13.7 °C
L010,6/5/17 13:21,5TM Moisture/Temp,0.208 m³/m³,14.5 °C
L010,6/12/17 13:21,5TM Moisture/Temp,0.207 m³/m³,14.9 °C
L010,6/19/17 11:57,5TM Moisture/Temp,0.206 m³/m³,14.9 °C
L010,6/26/17 12:15,5TM Moisture/Temp,0.206 m³/m³,16.0 °C
L010,7/3/17 12:08,5TM Moisture/Temp,0.204 m³/m³,17.1 °C
L010,7/10/17 12:46,5TM Moisture/Temp,0.200 m³/m³,17.9 °C
L010,7/17/17 12:50,5TM Moisture/Temp,0.196 m³/m³,18.5 °C
L010,7/24/17 11:43,5TM Moisture/Temp,0.193 m³/m³,18.9 °C
L010,7/31/17 13:28,5TM Moisture/Temp,0.188 m³/m³,19.7 °C
L010,8/7/17 13:40,5TM Moisture/Temp,0.184 m³/m³,20.2 °C
L010,8/14/17 11:38,5TM Moisture/Temp,0.180 m³/m³,20.7 °C
L010,8/22/2017 12:24 PM,5TM Moisture/Temp,0.174 m³/m³,20.0 °C
L010,8/28/2017 8:36 AM,5TM Moisture/Temp,0.169 m³/m³,19.9 °C
L010,9/5/2017 12:33 PM,5TM Moisture/Temp,0.162 m³/m³,19.9 °C
L010,9/11/2017 1:05 PM,5TM Moisture/Temp,0.160 m³/m³,20.0 °C
L010,9/18/2017 1:00 PM,5TM Moisture/Temp,0.156 m³/m³,19.5 °C
L010,10/2/2017 12:08 PM,5TM Moisture/Temp,0.154 m³/m³,17.3 °C
L010,10/10/2017 1:40 PM,5TM Moisture/Temp,0.153 m³/m³,16.0 °C
L010,10/16/2017 1:04 PM,5TM Moisture/Temp,0.153 m³/m³,15.0 °C
L010,10/23/2017 1:24 PM,5TM Moisture/Temp,0.154 m³/m³,14.2 °C
L010,10/30/2017 3:14 AM,5TM Moisture/Temp,0.154 m³/m³,13.9 °C
L010,11/6/2017 4:07 AM,5TM Moisture/Temp,0.155 m³/m³,13.1 °C
L010,11/13/2017 4:19 AM,5TM Moisture/Temp,0.194 m³/m³,11.9 °C
L010,11/13/2017 8:29 AM,5TM Moisture/Temp,0.201 m³/m³,11.4 °C
L010,11/20/2017 8:36 AM,5TM Moisture/Temp,0.204 m³/m³,11.4 °C
L010,11/27/2017 9:09 AM,5TM Moisture/Temp,0.202 m³/m³,10.7 °C
L010,12/4/2017 9:03 AM,5TM Moisture/Temp,0.201 m³/m³,9.2 °C
L010,12/11/2017 7:35 AM,5TM Moisture/Temp,0.198 m³/m³,7.5 °C
L013,12/15/14 12:45,5TM Moisture/Temp,0.402 m³/m³,11.3 °C
L013,12/29/14 12:45,5TM Moisture/Temp,0.418 m³/m³,11.0 °C
L013,1/5/15 13:19,5TM Moisture/Temp,0.413 m³/m³,9.8 °C
L013,1/12/15 11:44,5TM Moisture/Temp,0.414 m³/m³,9.5 °C
L013,1/20/15 11:58,5TM Moisture/Temp,0.418 m³/m³,9.5 °C
L013,1/26/15 11:22,5TM Moisture/Temp,0.418 m³/m³,9.6 °C
L013,2/2/15 11:20,5TM Moisture/Temp,0.424 m³/m³,9.9 °C
L013,2/10/15 11:56,5TM Moisture/Temp,0.427 m³/m³,10.3 °C
L013,2/17/15 10:30,5TM Moisture/Temp,0.424 m³/m³,10.5 °C
L013,2/23/15 11:17,5TM Moisture/Temp,0.424 m³/m³,10.5 °C
L013,3/2/15 10:48,5TM Moisture/Temp,0.424 m³/m³,10.0 °C
L013,3/9/15 11:07,5TM Moisture/Temp,0.424 m³/m³,10.0 °C
L013,3/16/15 10:27,5TM Moisture/Temp,0.429 m³/m³,10.7 °C
L013,3/23/15 10:36,5TM Moisture/Temp,0.434 m³/m³,11.2 °C
L013,3/30/15 10:30,5TM Moisture/Temp,0.433 m³/m³,11.5 °C
L013,4/6/15 10:54,5TM Moisture/Temp,0.433 m³/m³,11.8 °C
L013,4/13/15 11:29,5TM Moisture/Temp,0.433 m³/m³,11.7 °C
L013,4/20/15 10:10,5TM Moisture/Temp,0.424 m³/m³,11.8 °C
L013,4/27/15 8:37,5TM Moisture/Temp,0.433 m³/m³,12.4 °C
L013,5/4/15 10:28,5TM Moisture/Temp,0.435 m³/m³,12.9 °C
L013,5/11/15 10:17,5TM Moisture/Temp,0.439 m³/m³,13.4 °C
L013,5/18/15 11:43,5TM Moisture/Temp,0.442 m³/m³,13.7 °C
L013,5/26/15 9:56,EC-5 Soil Moisture,0.599 m³/m³,
L014,12/22/14 11:21,5TM Moisture/Temp,0.377 m³/m³,10.6 °C
L014,12/29/14 12:52,5TM Moisture/Temp,0.387 m³/m³,10.3 °C
L014,1/5/15 14:23,5TM Moisture/Temp,0.385 m³/m³,9.0 °C
L015,12/5/14 11:15,5TM Moisture/Temp,0.319 m³/m³,10.8 °C
L015,12/8/14 9:48,5TM Moisture/Temp,0.326 m³/m³,10.8 °C
L015,12/15/14 9:07,5TM Moisture/Temp,0.326 m³/m³,11.1 °C
L015,12/22/14 9:26,5TM Moisture/Temp,0.386 m³/m³,10.6 °C
L015,12/29/14 10:45,5TM Moisture/Temp,0.394 m³/m³,10.8 °C
L015,1/5/15 9:15,5TM Moisture/Temp,0.336 m³/m³,9.3 °C
L015,1/12/15 9:26,5TM Moisture/Temp,0.331 m³/m³,9.2 °C
L015,1/20/15 9:16,5TM Moisture/Temp,0.339 m³/m³,9.6 °C
L015,1/26/15 10:02,5TM Moisture/Temp,0.332 m³/m³,9.6 °C
L015,2/2/15 9:43,5TM Moisture/Temp,0.329 m³/m³,10.0 °C
L015,2/10/15 8:57,5TM Moisture/Temp,0.350 m³/m³,10.5 °C
L015,2/17/15 8:17,5TM Moisture/Temp,0.335 m³/m³,10.5 °C
L015,2/23/15 9:09,5TM Moisture/Temp,0.332 m³/m³,10.4 °C
L015,3/2/15 9:12,5TM Moisture/Temp,0.328 m³/m³,10.0 °C
L015,3/9/15 8:23,5TM Moisture/Temp,0.326 m³/m³,9.9 °C
L015,3/16/15 8:03,5TM Moisture/Temp,0.341 m³/m³,10.8 °C
L015,3/23/15 8:34,5TM Moisture/Temp,0.345 m³/m³,11.3 °C
L015,3/30/15 8:50,5TM Moisture/Temp,0.335 m³/m³,11.9 °C
L015,4/6/15 8:16,5TM Moisture/Temp,0.331 m³/m³,12.2 °C
L015,4/20/15 8:16,5TM Moisture/Temp,0.330 m³/m³,12.3 °C
L015,4/27/15 7:08,5TM Moisture/Temp,0.327 m³/m³,12.8 °C
L015,5/4/15 7:58,5TM Moisture/Temp,0.325 m³/m³,13.5 °C
L015,4/13/15 9:27,5TM Moisture/Temp,0.330 m³/m³,12.0 °C
L015,5/11/15 7:50,5TM Moisture/Temp,0.325 m³/m³,14.1 °C
L015,5/18/15 13:36,5TM Moisture/Temp,0.323 m³/m³,14.3 °C
L015,5/26/15 7:57,5TM Moisture/Temp,0.319 m³/m³,14.7 °C
L015,6/8/15 7:58,5TM Moisture/Temp,0.310 m³/m³,15.6 °C
L015,6/15/15 8:31,5TM Moisture/Temp,0.297 m³/m³,16.7 °C
L015,7/6/15 8:14,5TM Moisture/Temp,0.229 m³/m³,21.5 °C
L015,8/31/2015 8:37 AM,5TM Moisture/Temp,0.218 m³/m³,21.3 °C
L015,11/9/2015 9:35 AM,5TM Moisture/Temp,0.201 m³/m³,14.7 °C
L015,3/21/2016 12:19 AM,5TM Moisture/Temp,0.258 m³/m³,9.9 °C
L015,4/18/2016 9:17 AM,5TM Moisture/Temp,0.244 m³/m³,12.4 °C
L015,4/18/2016 9:17 AM,5TM Moisture/Temp,0.244 m³/m³,12.4 °C
L015,7/24/2016 9:30 PM,5TM Moisture/Temp,0.185 m³/m³,19.1 °C
L015,1/17/2017 5:35 AM,5TM Moisture/Temp,0.245 m³/m³,6.2 °C
L015,1/23/2017 5:38 AM,5TM Moisture/Temp,0.251 m³/m³,6.5 °C
L016,1/7/15 12:28,5TM Moisture/Temp,0.198 m³/m³,9.2 °C
L016,1/12/15 13:05,5TM Moisture/Temp,0.253 m³/m³,9.5 °C
L016,1/20/15 14:22,5TM Moisture/Temp,0.433 m³/m³,9.5 °C
L016,1/26/15 12:21,5TM Moisture/Temp,0.313 m³/m³,9.8 °C
L016,2/2/15 12:19,5TM Moisture/Temp,0.475 m³/m³,10.2 °C
L016,2/10/15 13:56,5TM Moisture/Temp,0.433 m³/m³,10.9 °C
L016,2/17/15 11:55,5TM Moisture/Temp,0.315 m³/m³,11.0 °C
L016,2/23/15 12:53,5TM Moisture/Temp,0.310 m³/m³,10.9 °C
L016,3/2/15 12:12,5TM Moisture/Temp,0.390 m³/m³,10.6 °C
L016,3/9/15 13:12,5TM Moisture/Temp,0.311 m³/m³,10.4 °C
L016,3/16/15 12:14,5TM Moisture/Temp,0.494 m³/m³,11.5 °C
L016,3/23/15 11:54,5TM Moisture/Temp,0.342 m³/m³,11.8 °C
L016,3/30/15 11:30,5TM Moisture/Temp,0.315 m³/m³,12.2 °C
L016,4/6/15 12:35,5TM Moisture/Temp,0.313 m³/m³,12.2 °C
L016,4/13/15 13:02,5TM Moisture/Temp,0.312 m³/m³,12.0 °C
L016,4/20/15 11:32,5TM Moisture/Temp,0.311 m³/m³,12.3 °C
L016,4/27/15 9:33,5TM Moisture/Temp,0.308 m³/m³,12.8 °C
L016,5/4/15 12:10,5TM Moisture/Temp,0.305 m³/m³,13.4 °C
L016,5/11/15 11:54,5TM Moisture/Temp,0.303 m³/m³,13.9 °C
L016,5/18/15 9:56,5TM Moisture/Temp,0.301 m³/m³,14.3 °C
L016,5/26/15 10:38,5TM Moisture/Temp,0.298 m³/m³,15.0 °C
L016,6/8/15 11:51,5TM Moisture/Temp,0.287 m³/m³,16.3 °C
L016,6/15/15 13:41,5TM Moisture/Temp,0.238 m³/m³,17.1 °C
L016,6/22/15 11:07,5TM Moisture/Temp,0.206 m³/m³,17.4 °C
L016,6/29/15 10:59,5TM Moisture/Temp,0.206 m³/m³,18.2 °C
L016,7/6/15 11:12,5TM Moisture/Temp,0.198 m³/m³,18.9 °C
L016,7/13/15 11:17,5TM Moisture/Temp,0.198 m³/m³,19.0 °C
L016,7/16/15 9:39,5TM Moisture/Temp,0.197 m³/m³,18.8 °C
L016,7/27/15 9:40,5TM Moisture/Temp,0.184 m³/m³,18.7 °C
L016,8/3/15 10:34,5TM Moisture/Temp,0.161 m³/m³,19.0 °C
L016,8/10/15 11:15,5TM Moisture/Temp,0.156 m³/m³,19.7 °C
L016,8/17/15 11:01,5TM Moisture/Temp,0.161 m³/m³,20.4 °C
L016,8/24/15 10:19,5TM Moisture/Temp,0.170 m³/m³,20.7 °C
L016,8/31/15 10:21,5TM Moisture/Temp,0.172 m³/m³,20.5 °C
L016,9/8/15 11:19,5TM Moisture/Temp,0.287 m³/m³,19.6 °C
L016,9/14/15 10:39,5TM Moisture/Temp,0.294 m³/m³,19.8 °C
L016,9/21/15 8:51,5TM Moisture/Temp,0.284 m³/m³,19.1 °C
L016,9/28/15 11:50,5TM Moisture/Temp,0.273 m³/m³,18.8 °C
L016,10/5/15 13:12,5TM Moisture/Temp,0.283 m³/m³,18.1 °C
L016,10/13/15 13:43,5TM Moisture/Temp,0.276 m³/m³,17.8 °C
L016,10/19/15 12:12,5TM Moisture/Temp,0.274 m³/m³,17.4 °C
L016,10/26/15 11:32,5TM Moisture/Temp,0.272 m³/m³,16.8 °C
L016,11/3/15 14:14,5TM Moisture/Temp,0.329 m³/m³,16.1 °C
L016,11/9/15 9:35,5TM Moisture/Temp,0.201 m³/m³,14.7 °C
L016,11/9/15 13:00,5TM Moisture/Temp,0.334 m³/m³,15.1 °C
L016,11/13/15 12:13,5TM Moisture/Temp,0.305 m³/m³,14.4 °C
L016,11/28/15 14:31,5TM Moisture/Temp,0.298 m³/m³,12.1 °C
L016,12/7/15 13:59,5TM Moisture/Temp,0.484 m³/m³,10.1 °C
L016,12/14/15 14:40,5TM Moisture/Temp,0.484 m³/m³,10.9 °C
L016,12/21/15 13:25,5TM Moisture/Temp,0.484 m³/m³,10.2 °C
L016,12/28/15 12:32,5TM Moisture/Temp,0.494 m³/m³,9.4 °C
L016,1/6/16 12:05,5TM Moisture/Temp,0.316 m³/m³,8.2 °C
L016,1/11/16 13:38,5TM Moisture/Temp,0.311 m³/m³,8.3 °C
L016,1/25/16 11:54,5TM Moisture/Temp,0.320 m³/m³,9.3 °C
L016,2/8/16 14:46,5TM Moisture/Temp,0.316 m³/m³,9.6 °C
L016,2/16/16 12:59,5TM Moisture/Temp,0.325 m³/m³,10.2 °C
L016,2/22/16 3:37,5TM Moisture/Temp,0.328 m³/m³,10.3 °C
L016,2/29/16 3:14,5TM Moisture/Temp,0.319 m³/m³,10.4 °C
L016,3/7/16 4:49,5TM Moisture/Temp,0.428 m³/m³,10.7 °C
L016,3/21/16 0:19,5TM Moisture/Temp,0.258 m³/m³,9.9 °C
L016,3/21/16 3:00,5TM Moisture/Temp,0.424 m³/m³,11.0 °C
L016,4/11/16 12:05,5TM Moisture/Temp,0.322 m³/m³,13.0 °C
L016,4/18/16 11:42,5TM Moisture/Temp,0.324 m³/m³,13.1 °C
L016,5/2/16 13:06,5TM Moisture/Temp,0.319 m³/m³,13.8 °C
L016,5/9/16 12:05,5TM Moisture/Temp,0.315 m³/m³,14.6 °C
L016,5/16/16 11:54,5TM Moisture/Temp,0.314 m³/m³,15.2 °C
L016,5/23/16 11:17,5TM Moisture/Temp,0.311 m³/m³,15.1 °C
L016,6/6/16 13:05,5TM Moisture/Temp,0.306 m³/m³,16.0 °C
L016,6/13/16 2:10,5TM Moisture/Temp,0.299 m³/m³,16.7 °C
L016,6/20/16 0:41,5TM Moisture/Temp,0.313 m³/m³,16.2 °C
L016,6/27/16 1:44,5TM Moisture/Temp,0.301 m³/m³,16.4 °C
L016,7/5/16 0:29,5TM Moisture/Temp,0.241 m³/m³,17.1 °C
L016,7/11/16 0:55,5TM Moisture/Temp,0.236 m³/m³,17.3 °C
L016,7/24/16 21:30,5TM Moisture/Temp,0.185 m³/m³,19.1 °C
L016,7/25/16 0:02,5TM Moisture/Temp,0.216 m³/m³,17.3 °C
L016,8/1/16 22:38,5TM Moisture/Temp,0.200 m³/m³,17.8 °C
L016,8/15/16 23:41,5TM Moisture/Temp,0.181 m³/m³,18.2 °C
L016,8/22/16 23:34,5TM Moisture/Temp,0.170 m³/m³,19.3 °C
L016,9/7/16 1:06,5TM Moisture/Temp,0.188 m³/m³,19.7 °C
L016,9/13/16 0:41,5TM Moisture/Temp,0.189 m³/m³,19.6 °C
L016,9/19/16 23:45,5TM Moisture/Temp,0.291 m³/m³,19.4 °C
L016,10/3/16 23:57,5TM Moisture/Temp,0.288 m³/m³,18.2 °C
L016,10/11/16 0:04,5TM Moisture/Temp,0.311 m³/m³,17.2 °C
L016,10/17/16 7:17,5TM Moisture/Temp,0.475 m³/m³,14.5 °C
L016,10/24/16 7:09,5TM Moisture/Temp,0.322 m³/m³,15.0 °C
L016,10/31/16 8:36,5TM Moisture/Temp,0.382 m³/m³,14.4 °C
L016,11/7/16 8:57,5TM Moisture/Temp,0.329 m³/m³,14.2 °C
L016,11/14/16 8:36,5TM Moisture/Temp,0.461 m³/m³,14.1 °C
L016,11/21/16 8:00,5TM Moisture/Temp,0.373 m³/m³,13.2 °C
L016,11/28/16 8:35,5TM Moisture/Temp,0.357 m³/m³,12.1 °C
L016,12/5/16 9:10,5TM Moisture/Temp,0.337 m³/m³,11.3 °C
L016,12/12/16 8:05,5TM Moisture/Temp,0.386 m³/m³,9.5 °C
L016,12/19/16 8:10,5TM Moisture/Temp,0.319 m³/m³,8.7 °C
L016,1/3/17 7:56,5TM Moisture/Temp,0.369 m³/m³,8.0 °C
L016,1/9/17 10:39,5TM Moisture/Temp,0.448 m³/m³,3.7 °C
L016,1/17/17 5:35,5TM Moisture/Temp,0.245 m³/m³,6.2 °C
L016,1/23/17 5:38,5TM Moisture/Temp,0.251 m³/m³,6.5 °C
L016,1/30/17 7:15,5TM Moisture/Temp,0.320 m³/m³,7.4 °C
L016,2/6/17 9:24,5TM Moisture/Temp,0.457 m³/m³,7.3 °C
L016,2/13/17 8:56,5TM Moisture/Temp,0.346 m³/m³,8.4 °C
L016,2/27/17 8:27,5TM Moisture/Temp,0.377 m³/m³,8.2 °C
L016,3/6/17 13:41,5TM Moisture/Temp,0.444 m³/m³,6.8 °C
L016,3/13/17 13:01,5TM Moisture/Temp,0.363 m³/m³,8.8 °C
L016,3/27/17 11:57,5TM Moisture/Temp,0.461 m³/m³,10.1 °C
L016,4/3/17 11:47,5TM Moisture/Temp,0.348 m³/m³,10.4 °C
L016,4/10/17 11:46,5TM Moisture/Temp,0.365 m³/m³,10.9 °C
L016,4/17/17 10:42,5TM Moisture/Temp,0.361 m³/m³,10.9 °C
L016,4/24/17 11:47,5TM Moisture/Temp,0.460 m³/m³,11.5 °C
L016,5/1/17 13:05,5TM Moisture/Temp,0.348 m³/m³,11.7 °C
L016,5/8/17 12:36,5TM Moisture/Temp,0.342 m³/m³,12.7 °C
L016,5/22/17 12:03,5TM Moisture/Temp,0.332 m³/m³,13.3 °C
L016,5/30/17 12:23,5TM Moisture/Temp,0.327 m³/m³,15.0 °C
L016,6/5/17 12:51,5TM Moisture/Temp,0.318 m³/m³,15.6 °C
L016,6/12/17 12:36,5TM Moisture/Temp,0.346 m³/m³,15.8 °C
L016,6/26/17 11:35,5TM Moisture/Temp,0.313 m³/m³,16.7 °C
L016,7/3/17 11:40,5TM Moisture/Temp,0.267 m³/m³,17.6 °C
L016,7/10/17 12:12,5TM Moisture/Temp,0.212 m³/m³,18.7 °C
L016,7/17/17 12:21,5TM Moisture/Temp,0.190 m³/m³,19.6 °C
L016,7/24/17 11:13,5TM Moisture/Temp,0.174 m³/m³,19.9 °C
L016,7/31/17 12:58,5TM Moisture/Temp,0.164 m³/m³,21.1 °C
L016,8/7/17 13:15,5TM Moisture/Temp,0.156 m³/m³,22.0 °C
L016,8/14/17 11:06,5TM Moisture/Temp,0.154 m³/m³,22.3 °C
L016,8/22/17 12:00,5TM Moisture/Temp,0.153 m³/m³,21.6 °C
L016,8/28/17 10:02,5TM Moisture/Temp,0.152 m³/m³,21.6 °C
L016,9/5/17 12:10,5TM Moisture/Temp,0.149 m³/m³,21.9 °C
L016,9/11/17 12:37,5TM Moisture/Temp,0.149 m³/m³,21.7 °C
L016,9/18/17 11:25,5TM Moisture/Temp,0.147 m³/m³,21.2 °C
L016,10/2/17 11:39,5TM Moisture/Temp,0.145 m³/m³,19.0 °C
L016,10/10/17 13:16,5TM Moisture/Temp,0.144 m³/m³,17.7 °C
L016,10/16/17 12:13,5TM Moisture/Temp,0.142 m³/m³,16.4 °C
L016,10/23/17 12:55,5TM Moisture/Temp,0.298 m³/m³,15.5 °C
L016,10/30/17 2:42,5TM Moisture/Temp,0.282 m³/m³,15.3 °C
L016,11/6/17 3:29,5TM Moisture/Temp,0.324 m³/m³,14.1 °C
L016,11/13/17 3:44,5TM Moisture/Temp,0.389 m³/m³,12.8 °C
L016,11/13/17 7:53,5TM Moisture/Temp,0.437 m³/m³,12.1 °C
L016,11/20/17 8:09,5TM Moisture/Temp,0.314 m³/m³,12.4 °C
L016,11/27/17 8:39,5TM Moisture/Temp,0.309 m³/m³,11.6 °C
L016,12/4/17 8:27,5TM Moisture/Temp,0.295 m³/m³,10.1 °C
L016,12/11/17 7:01,5TM Moisture/Temp,0.292 m³/m³,8.7 °C
